place_name,country,search_query,fun_fact
Monasterio de las Cuevas de Kiev,Ucrania,Kyiv Pechersk Lavra,"Debajo de este monasterio hay túneles y cuevas muy antiguos."
Castillo de Kamianets-Podilskyi,Ucrania,Kamianets-Podilskyi castle,"Es un castillo rodeado por un cañón, como protegido por la naturaleza."
Stonehenge,Reino Unido,Stonehenge England,"Nadie sabe con certeza cómo movieron estas piedras gigantes hace miles de años."
Big Ben,Reino Unido,Big Ben London day,"Es la torre del reloj más famosa de Londres y su campana suena fuertísimo."
Tower Bridge,Reino Unido,Tower Bridge London day,"Este puente se abre por el medio para dejar pasar a los barcos grandes."
Cristo Redentor,Brasil,Christ the Redeemer Rio,"Esta estatua gigante abre los brazos sobre la ciudad de Río de Janeiro."
Pan de Azúcar,Brasil,Sugarloaf Mountain Rio,"A este cerro con forma redonda se sube en un teleférico colgante."
Teatro Amazonas,Brasil,Teatro Amazonas Manaus,"Es un teatro de colores en plena selva del Amazonas."
Cataratas del Iguazú,Argentina,Iguazu Falls Argentina,"Son cientos de saltos de agua juntos; el más grande es la Garganta del Diablo."
Glaciar Perito Moreno,Argentina,Perito Moreno glacier,"Es un río de hielo gigante del que a veces se desprenden bloques enormes."
Obelisco de Buenos Aires,Argentina,Obelisco Buenos Aires,"Esta aguja blanca en el centro de la ciudad es el símbolo de Buenos Aires."
Machu Picchu,Perú,Machu Picchu Peru,"Esta ciudad inca está escondida en lo alto de las montañas, entre las nubes."
Líneas de Nazca,Perú,Nazca Lines Peru,"Son dibujos gigantes en el desierto que recién se ven bien desde el aire."
Sacsayhuamán,Perú,Sacsayhuaman Cusco,"Los incas encajaron piedras enormes tan justas que no entra ni un papel."
Chichén Itzá,México,Chichen Itza pyramid Mexico,"Esta pirámide maya tiene escalones que suman los días del año."
Teotihuacán,México,Teotihuacan pyramids Mexico,"Aquí está la Pirámide del Sol, una de las más grandes del mundo antiguo."
Ruinas de Tulum,México,Tulum ruins beach Mexico,"Es una ciudad maya construida al borde de un acantilado frente al mar."
Cataratas del Niágara,Canadá,Niagara Falls Canada,"Cae tanta agua que se escucha el ruido desde muy lejos."
Château Frontenac,Canadá,Chateau Frontenac Quebec,"Parece un castillo gigante pero en realidad es un famoso hotel."
Lago Moraine,Canadá,Moraine Lake Banff,"Su agua es de un color turquesa increíble por el hielo de las montañas."
Estatua de la Libertad,Estados Unidos,Statue of Liberty New York,"Fue un regalo de Francia y sostiene una antorcha bien en alto."
Gran Cañón,Estados Unidos,Grand Canyon Arizona,"Es una grieta enorme que el río Colorado fue cavando durante millones de años."
Monte Rushmore,Estados Unidos,Mount Rushmore,"En esta montaña tallaron las caras gigantes de cuatro presidentes."
Taj Mahal,India,Taj Mahal India,"Es un palacio de mármol blanco que un rey mandó hacer por amor."
Hawa Mahal,India,Hawa Mahal Jaipur,"Tiene casi mil ventanitas para que entrara el viento y refrescara."
Fuerte Amber,India,Amber Fort Jaipur,"Es una fortaleza enorme en lo alto de una colina, con murallas larguísimas."
Wat Arun,Tailandia,Wat Arun temple Bangkok,"Sus torres están decoradas con miles de pedacitos de porcelana de colores."
Buda reclinado de Wat Pho,Tailandia,Reclining Buddha Wat Pho,"Es una estatua de Buda acostado tan larga como media cancha de fútbol."
Ruinas de Ayutthaya,Tailandia,Ayutthaya ruins Thailand,"Fue una ciudad gigante y hoy quedan templos antiguos entre los árboles."
Bahía de Ha Long,Vietnam,Ha Long Bay Vietnam,"Del mar salen miles de islas de roca con forma de torres verdes."
Hoi An,Vietnam,Hoi An ancient town lanterns,"Sus calles se llenan de farolitos de papel de muchos colores."
Templo de la Literatura,Vietnam,Temple of Literature Hanoi,"Fue una de las primeras escuelas del país, hace casi 1000 años."
Palacio Gyeongbokgung,Corea del Sur,Gyeongbokgung Palace Seoul,"Es el palacio más grande de los reyes de Corea, en el centro de Seúl."
Aldea Hanok de Bukchon,Corea del Sur,Bukchon Hanok Village Seoul,"Es un barrio de casas tradicionales con techos curvos."
Templo Bulguksa,Corea del Sur,Bulguksa temple Korea,"Este templo de madera y piedra tiene más de 1200 años."
Gran Muralla China,China,Great Wall of China,"Es tan larga que serpentea por las montañas durante miles de kilómetros."
Ciudad Prohibida,China,Forbidden City Beijing,"Era el palacio del emperador y la gente común no podía entrar."
Ejército de Terracota,China,Terracotta Army Xian,"Son miles de soldados de barro de tamaño real, ¡y todos con cara distinta!"
Iglesias de Lalibela,Etiopía,Lalibela rock churches Ethiopia,"Estas iglesias fueron talladas hacia abajo, dentro de la roca."
Castillos de Gondar,Etiopía,Gondar castle Ethiopia,"Es una ciudad con castillos de piedra, como un cuento africano."
Estelas de Aksum,Etiopía,Aksum obelisk Ethiopia,"Son columnas de piedra altísimas hechas de un solo bloque hace siglos."
Zuma Rock,Nigeria,Zuma Rock Nigeria,"Es una roca gigante que parece tener la forma de una cara."
Olumo Rock,Nigeria,Olumo Rock Abeokuta,"Hace mucho tiempo la gente se escondía dentro de esta gran roca."
Bosque sagrado de Osun-Osogbo,Nigeria,Osun-Osogbo sacred grove,"Es un bosque con esculturas donde se cuidan árboles muy antiguos."
Muro de los Lamentos,Israel,Western Wall Jerusalem,"Mucha gente deja papelitos con deseos entre las piedras de este muro."
Fortaleza de Masada,Israel,Masada fortress Israel,"Es una fortaleza en la cima de una montaña en pleno desierto."
Mar Muerto,Israel,Dead Sea Israel,"Tiene tanta sal que uno flota sin esfuerzo, ¡como un corcho!"
Ruinas jesuíticas de la Santísima Trinidad,Paraguay,Jesuit ruins Trinidad Paraguay,"Son los restos de un pueblo de piedra de hace más de 300 años."
Palacio de los López,Paraguay,Palacio Lopez Asuncion,"Es el palacio del gobierno, blanco y muy elegante, en Asunción."
Salto Cristal,Paraguay,Salto Cristal Paraguay waterfall,"Es una catarata de agua tan clara que se ve el fondo."
Joya de Cerén,El Salvador,Joya de Ceren ruins El Salvador,"Un volcán tapó este pueblo y quedó guardado como una foto del pasado."
Ruinas de Tazumal,El Salvador,Tazumal ruins El Salvador,"Es una pirámide maya, una de las más importantes del país."
Lago de Coatepeque,El Salvador,Coatepeque lake El Salvador,"Es un lago azul que se formó dentro de un volcán."
Volcán Arenal,Costa Rica,Arenal Volcano Costa Rica,"Tiene una forma de cono casi perfecta y estuvo activo durante muchos años."
Esferas de piedra del Diquís,Costa Rica,Diquis stone spheres Costa Rica,"Son bolas de piedra perfectas y nadie sabe bien para qué se hicieron."
Catarata La Fortuna,Costa Rica,La Fortuna waterfall Costa Rica,"El agua cae desde muy alto en medio de la selva verde."
Gamla Stan,Suecia,Gamla Stan Stockholm old town,"Es el casco antiguo con casitas de colores y calles de piedra."
Castillo de Kalmar,Suecia,Kalmar Castle Sweden,"Es un castillo con torres y foso, como los de los caballeros."
Piedras de Ale,Suecia,Ales Stenar Sweden stones,"Son piedras enormes puestas en forma de barco hace muchísimo tiempo."
Colonia del Sacramento,Uruguay,Colonia del Sacramento Uruguay,"Tiene calles de piedra y un faro antiguo frente al río."
Palacio Salvo,Uruguay,Palacio Salvo Montevideo,"Cuando se construyó era uno de los edificios más altos de Sudamérica."
La Mano de Punta del Este,Uruguay,La Mano Punta del Este,"Es una mano gigante que sale de la arena de la playa."
Capadocia,Turquía,Cappadocia balloons Turkey,"Tiene casas y ciudades excavadas en rocas blandas con formas raras."
Santa Sofía,Turquía,Hagia Sophia Istanbul,"Esta enorme cúpula tiene casi 1500 años y se ve desde lejos."
Pamukkale,Turquía,Pamukkale Turkey terraces,"Parecen escalones de algodón blanco, pero son de piedra y agua caliente."
Cartagena amurallada,Colombia,Cartagena walled city Colombia,"Una gran muralla rodea el casco viejo para protegerlo de los piratas."
Piedra del Peñol,Colombia,Guatape rock Colombia,"Es una roca enorme con una escalera de más de 700 escalones."
Caño Cristales,Colombia,Cano Cristales Colombia river,"Lo llaman 'el río de cinco colores' por sus plantas rojas en el agua."
